_id,Centre Code,Centre Name,Centre Type,Centre Status,Host Centre Code,Host Centre Name,Official Low Year Level,Official High Year Level,Officer In Charge Title,School Band,Show Holiday Date,Internet Site,Phone Number,Restrict Contact Outside Teaching Hours,Fax Number,Actual Address Line 1,Actual Address Line 2,Actual Address Line 3,Actual Address Post Code,Postal Address Line 1,Postal Address Line 2,Postal Address Line 3,Postal Address Post Code,Education Geographic Region,Federal Electorate,State Electorate,Local Government Area,Statistical Area Level2,Statistical Area Level2 Code,Remoteness Area,Enrolment Effective Date,All Student Count,Campus All Student Count,ABN,Sector,Non-State Sector,Longitude,Latitude
22,5111,All Saints' School (Boonah),Non-State School,Open,,,Prep Year,Year 6,Principal,,,www.allsaintsboonah.qld.edu.au,(07) 5463 1322,N,(07) 5463 2597,,15 Oliver Street,Boonah,4310,15 Oliver Street,Boonah,,4310,South East,Wright,Scenic Rim,Scenic Rim (R),Boonah,310021277,Inner Regional Australia,,,,,Non-State,Catholic,152.686423,-28.000349
23,5451,All Souls St Gabriels School (Charters Towers),Non-State School,Open,,,Prep Year,Year 12,Headmaster,,,www.allsouls.qld.edu.au,(07) 4787 1433,,(07) 4787 3049,,30 Dr George Ellis Drive,Charters Towers,4820,PO Box 235,Charters Towers,,4820,North Queensland,Kennedy,Traeger,Charters Towers (R),Charters Towers,318011462,Outer Regional Australia,,,,,Non-State,Independent,146.276724,-20.062721
24,155,Allenstown State School,State School,Open,,,Prep Year,Year 6,Principal,8,2020-06-11T00:00:00,www.allenstownss.eq.edu.au,(07) 4930 0111,N,(07) 4930 0100,,Upper Dawson Road,Allenstown,4700,PO Box 8444,Allenstown,,4700,Central Queensland,Capricornia,Rockhampton,Rockhampton (R),The Range - Allenstown,308031222,Inner Regional Australia,2019 July,389,,47315850702,State,,150.502671,-23.391906
25,773,Alligator Creek State School,State School,Open,,,Prep Year,Year 6,Principal,7,2020-06-18T00:00:00,www.alligatorcreekss.eq.edu.au,(07) 4956 4166,N,(07) 4956 4417,,50 Grasstree Road,Alligator Creek,4740,50 Grasstree Road,Alligator Creek,via Mackay,4740,Central Queensland,Capricornia,Mirani,Mackay (R),Sarina,312021352,Outer Regional Australia,2019 July,329,,72800229502,State,,149.211559,-21.329398
26,3,Allora P-10 State School,State School,Open,,,Prep Year,Year 10,Principal,8,2020-02-07T00:00:00,www.allorass.eq.edu.au,(07) 4666 7222,N,(07) 4666 7299,,21 Warwick Street,Allora,4362,PO Box 6,Allora,,4362,Darling Downs South West,Maranoa,Southern Downs,Southern Downs (R),Southern Downs - West,307031186,Inner Regional Australia,2019 July,215,,34253365904,State,,151.986183,-28.036194
27,430,Alloway State School,State School,Open,,,Prep Year,Year 6,Principal,5,2020-05-28T00:00:00,www.allowayss.eq.edu.au,(07) 4159 7352,N,(07) 4159 7508,,4334 Goodwood Road,Alloway,4670,4334 Goodwood Road,Bundaberg,,4670,North Coast,Hinkler,Burnett,Bundaberg (R),Bundaberg Region - South,319011499,Inner Regional Australia,2019 July,32,,53628761154,State,,152.378285,-24.952136
28,870,Aloomba State School,State School,Open,,,Prep Year,Year 6,Principal,6,2020-07-17T00:00:00,www.aloombass.eq.edu.au,(07) 4043 3888,N,(07) 4043 3800,,Nielsen Street,Aloomba,4871,c/- Post Office,Aloomba,,4871,Far North Queensland,Kennedy,Mulgrave,Cairns (R),Babinda,306031158,Outer Regional Australia,2019 July,87,,32012442977,State,,145.831978,-17.10984
29,517,Alpha State School,State School,Open,,,Prep Year,Year 10,Principal,7,2020-05-20T00:00:00,www.alphass.eq.edu.au,(07) 4987 0888,N,(07) 4987 0800,,Milton Street,Alpha,4724,11 Milton Street,Alpha,,4724,Central Queensland,Maranoa,Gregory,Barcaldine (R),Barcaldine - Blackall,315031408,Very Remote Australia,2019 July,43,,34433161836,State,,146.642263,-23.650791
30,9628,Alta-1 College (Caboolture),Non-State School,Open,,,Year 11,Year 12,Principal,,,www.alta-1.qld.edu.au,(07) 5301 8008,,,Destiny Church,94 Parish Road,Caboolture,4510,PO Box 388,Caboolture,,4510,North Coast,Longman,Morayfield,Moreton Bay (R),Caboolture,313021365,Major Cities of Australia,,,,,Non-State,Independent,152.941507,-27.071032
31,1719,Amamoor State School,State School,Open,,,Prep Year,Year 6,Principal,6,2020-05-15T00:00:00,www.amamoorss.eq.edu.au,(07) 5401 1333,N,,,2 Elizabeth Street,Amamoor,4570,c/- Post Office,Amamoor,,4570,North Coast,Wide Bay,Gympie,Gympie (R),Gympie Region,319031514,Inner Regional Australia,2019 July,88,,61566823389,State,,152.67315,-26.346411
32,115,Amberley District State School,State School,Open,,,Prep Year,Year 6,Principal,10,2020-05-15T00:00:00,www.amberleydistrictss.eq.edu.au,(07) 3280 3111,N,(07) 3288 0313,,37 Deebing Creek Road,Yamanto,4305,37 Deebing Creek Road,Yamanto,,4305,Metropolitan,Blair,Ipswich West,Ipswich (C),Churchill - Yamanto,310031285,Major Cities of Australia,2019 July,861,,29071078038,State,,152.750141,-27.65749
33,1415,Ambrose State School,State School,Open,,,Prep Year,Year 6,Principal,6,2020-08-10T00:00:00,www.ambrosess.eq.edu.au,(07) 4975 1165,Y,(07) 4975 1432,,39 Gentle Annie Road,Ambrose,4695,39 Gentle Annie Road,Ambrose,,4695,Central Queensland,Flynn,Gladstone,Gladstone (R),Gladstone Hinterland,308051535,Outer Regional Australia,2019 July,64,,79273424412,State,,150.921893,-23.786492
34,5077,Ambrose Treacy College (Indooroopilly),Non-State School,Open,,,Year 4,Year 12,Principal,,,www.atc.qld.edu.au,(07) 3878 0500,,(07) 3878 0501,,Twigg Street,Indooroopilly,4068,Twigg Street,Indooroopilly,,4068,Metropolitan,Ryan,Maiwar,Brisbane (C),Indooroopilly,304031094,Major Cities of Australia,,,,,Non-State,Catholic,152.966903,-27.507571
35,1629,Amiens State School,State School,Open,,,Prep Year,Year 6,Principal,5,2020-01-31T00:00:00,www.amiensss.eq.edu.au,(07) 4683 3177,N,(07) 4683 3220,,1337 Amiens Road,Amiens,4380,1337 Amiens Road,Amiens,,4380,Darling Downs South West,Maranoa,Southern Downs,Southern Downs (R),Stanthorpe Region,307031188,Outer Regional Australia,2019 July,38,,41113139955,State,,151.812654,-28.594568
36,474,Anakie State School,State School,Open,,,Prep Year,Year 6,Principal,6,2020-06-03T00:00:00,www.anakiess.eq.edu.au,(07) 4981 1111,N,(07) 4985 4227,,Cook Street,The Gemfields,4702,PO Box 316,Sapphire,,4702,Central Queensland,Flynn,Gregory,Central Highlands (R),Central Highlands - West,308011191,Remote Australia,2019 July,64,,99806429525,State,,147.745856,-23.554011
37,1572,Andergrove State School,State School,Open,,,Prep Year,Year 6,Principal,8,2020-06-18T00:00:00,www.andergrovess.eq.edu.au,(07) 4998 9333,N,,,Fernleigh Avenue,Andergrove,4740,PO Box 8289,Mount Pleasant,Mackay,4740,Central Queensland,Dawson,Mackay,Mackay (R),Andergrove - Beaconsfield,312021342,Inner Regional Australia,2019 July,339,,88272471994,State,,149.188241,-21.086247
38,A057,Angelorum College (Fortitude Valley),Non-State School,Open,,,Prep Year,Year 10,Principal,,,www.angelorum.qld.edu.au,(07) 3257 2830,,,,377 St Pauls Terrace,Fortitude Valley,4006,377 St Pauls Terrace,Fortitude Valley,,4006,Metropolitan,Brisbane,McConnel,Brisbane (C),Fortitude Valley,305011106,Major Cities of Australia,,,,,Non-State,Independent,153.032768,-27.455604
39,5446,Anglican Church Grammar School (East Brisbane),Non-State School,Open,,,Prep Year,Year 12,Headmaster,,,www.churchie.com.au,(07) 3896 2200,,(07) 3891 5976,,Oaklands Parade,East Brisbane,4169,Oaklands Parade,East Brisbane,,4169,Metropolitan,Griffith,South Brisbane,Brisbane (C),East Brisbane,305021115,Major Cities of Australia,,,,,Non-State,Independent,153.051077,-27.48166
40,5573,Annandale Christian College (Annandale),Non-State School,Open,,,Prep Year,Year 12,Principal,,,www.acc.qld.edu.au,(07) 4725 2082,,(07) 4725 4178,,104-156 Yolanda Drive,Annandale,4814,PO Box 1366,Aitkenvale,,4814,North Queensland,Dawson,Mundingburra,Townsville (C),Annandale,318021468,Outer Regional Australia,,,,,Non-State,Independent,146.78026,-19.312706
41,440,Annandale State School,State School,Open,,,Prep Year,Year 6,Principal,10,2020-07-06T00:00:00,www.annandaless.eq.edu.au,(07) 4729 5111,N,(07) 4729 5100,,Cnr Oleander Street & Yolanda Drive,Annandale,4814,Cnr Oleander Street & Yolanda Drive,Annandale,,4814,North Queensland,Dawson,Mundingburra,Townsville (C),Annandale,318021468,Outer Regional Australia,2019 July,841,,58488048743,State,,146.778441,-19.315285
42,1294,Applethorpe State School,State School,Open,,,Prep Year,Year 6,Principal,5,2020-01-31T00:00:00,www.applethorpess.eq.edu.au,(07) 4683 2203,N,(07) 4683 2542,,25576 New England Highway,Applethorpe,4378,25576 New England Highway,Applethorpe,,4378,Darling Downs South West,Maranoa,Southern Downs,Southern Downs (R),Stanthorpe Region,307031188,Outer Regional Australia,2019 July,52,,77383988490,State,,151.955354,-28.612562
43,5316,Aquinas College (Ashmore),Non-State School,Open,,,Year 7,Year 12,Principal,,,www.aquinas.qld.edu.au,(07) 5510 2888,,(07) 5510 2899,,Edmund Rice Drive,Ashmore,4214,PO Box 34,Ashmore City,,4214,South East,Moncrieff,Southport,Gold Coast (C),Southport - North,309091540,Major Cities of Australia,,,,,Non-State,Catholic,153.382676,-27.97591
44,312,Aramac State School,State School,Open,,,Early Childhood,Year 10,Principal,7,2020-09-09T00:00:00,www.aramacss.eq.edu.au,(07) 4651 3177,N,,,69 Porter Street,Aramac,4726,PO Box 92,Aramac,,4726,Central Queensland,Maranoa,Gregory,Barcaldine (R),Barcaldine - Blackall,315031408,Very Remote Australia,2019 July,55,,14926232593,State,,145.242684,-22.974429
45,1266,Aratula State School,State School,Open,,,Prep Year,Year 6,Principal,5,2020-08-10T00:00:00,www.aratulass.eq.edu.au,(07) 5463 8158,N,(07) 5463 8389,,41 Elizabeth Street,Aratula,4309,41 Elizabeth Street,Aratula,,4309,South East,Wright,Scenic Rim,Scenic Rim (R),Boonah,310021277,Inner Regional Australia,2019 July,48,,40566276356,State,,152.544186,-27.980839
46,9087,Arcadia College (Varsity Lakes),Non-State School,Open,,,Year 7,Year 12,Principal,,,www.arcadia.qld.edu.au,(07) 5655 1800,,(07) 5655 1899,,1 Bellvue Drive,Varsity Lakes,4227,PO Box 394,Varsity Lakes,,4227,South East,Moncrieff,Mermaid Beach,Gold Coast (C),Southport - North,309091540,Major Cities of Australia,,,,,Non-State,Independent,153.412311,-27.96367
47,813,Arcadia Valley State School,State School,Open,,,Early Childhood,Year 6,Principal,5,2020-05-08T00:00:00,www.arcadiavalleyss.eq.edu.au,(07) 4626 7110,Y,(07) 4626 7145,,4831 Arcadia Valley Road,Arcadia Valley,4454,4831 Arcadia Valley Road,Arcadia Valley,via Injune,4454,Darling Downs South West,Flynn,Gregory,Central Highlands (R),Central Highlands - West,308011191,Remote Australia,2019 July,6,,74798912711,State,,148.820874,-25.255099
48,A740,Arethusa College (Deception Bay),Non-State School,Open,,,Year 7,Year 12,Executive Principal,,,www.arethusa.qld.edu.au,1300 720 371,,(07) 3888 5143,,1-83 Deception Bay Road,Deception Bay,4508,PO Box 565,Burpengary,,4505,North Coast,Petrie,Bancroft,Moreton Bay (R),Deception Bay,313041373,Major Cities of Australia,,,,,Non-State,Independent,152.98686,-27.178469
49,1997,Arundel State School,State School,Open,,,Prep Year,Year 6,Principal,11,2020-08-28T00:00:00,www.arundelss.eq.edu.au,(07) 5561 4888,N,(07) 5561 4800,,Cnr Napper Road & Arundel Drive,Arundel,4214,Cnr Napper Road & Arundel Drive,Arundel,,4214,South East,Fadden,Bonney,Gold Coast (C),Arundel,309031235,Major Cities of Australia,2019 July,1166,,86513030548,State,,153.36587,-27.945078
50,296,Ascot State School,State School,Open,,,Prep Year,Year 6,Principal,9,2020-08-12T00:00:00,www.ascotss.eq.edu.au,(07) 3326 9333,N,(07) 3326 9300,,Pringle Street,Ascot,4007,PO Box 2053,Ascot,,4007,Metropolitan,Brisbane,Clayfield,Brisbane (C),Ascot,305031121,Major Cities of Australia,2019 July,765,,64536756133,State,,153.055952,-27.432671
51,186,Ashgrove State School,State School,Open,,,Prep Year,Year 6,Principal,9,2020-08-12T00:00:00,www.ashgrovess.eq.edu.au,(07) 3858 4777,N,,,31 Glory Street,Ashgrove,4060,PO Box 2077,Ashgrove West,,4060,Metropolitan,Ryan,Cooper,Brisbane (C),Ashgrove,305041132,Major Cities of Australia,2019 July,799,,45602921885,State,,152.976542,-27.448125
52,1871,Ashmore State School,State School,Open,,,Prep Year,Year 6,Principal,10,2020-08-28T00:00:00,www.ashmoress.eq.edu.au,(07) 5656 1333,N,(07) 5656 1300,,Currumburra Road,Ashmore,4214,Currumburra Road,Ashmore,,4214,South East,Moncrieff,Southport,Gold Coast (C),Ashmore,309091263,Major Cities of Australia,2019 July,904,,84529705275,State,,153.381323,-27.989147
53,512,Ashwell State School,State School,Open,,,Prep Year,Year 6,Principal,5,2020-05-15T00:00:00,www.ashwellss.eq.edu.au,(07) 5464 1184,N,(07) 5464 2539,,35 Reinke Road,Ashwell,4340,35 Reinke Road,Ashwell via Rosewood,,4340,Metropolitan,Blair,Ipswich West,Ipswich (C),Rosewood,310021282,Inner Regional Australia,2019 July,53,,61930852088,State,,152.556566,-27.629413
54,1004,Aspley East State School,State School,Open,,,Prep Year,Year 6,Principal,10,2020-08-12T00:00:00,www.aspleyeastss.eq.edu.au,(07) 3867 2777,N,(07) 3863 7820,,31 Helena Street,Aspley,4034,31 Helena Street,Aspley,,4034,Metropolitan,Petrie,Aspley,Brisbane (C),Aspley,302021027,Major Cities of Australia,2019 July,876,,54034912342,State,,153.023968,-27.362313
55,3031,Aspley Special School,Special School,Open,,,Year 7,Year 12,Principal,10,2020-08-12T00:00:00,www.aspleyspecs.eq.edu.au,(07) 3867 2333,N,(07) 3867 2300,,751 Zillmere Road,Aspley,4034,PO Box 67,Zillmere,,4034,Metropolitan,Petrie,Aspley,Brisbane (C),Aspley,302021027,Major Cities of Australia,2019 July,99,,79268865488,State,,153.021118,-27.356718
56,2076,Aspley State High School,State High School,Open,,,Year 7,Year 12,Principal,10,2020-08-12T00:00:00,www.aspleyshs.eq.edu.au,(07) 3863 9222,N,(07) 3863 9200,,651 Zillmere Road,Aspley,4034,651 Zillmere Road,Aspley,,4034,Metropolitan,Petrie,Aspley,Brisbane (C),Aspley,302021027,Major Cities of Australia,2019 July,957,,30484583885,State,,153.024213,-27.357169
57,610,Aspley State School,State School,Open,,,Early Childhood,Year 6,Principal,9,2020-08-12T00:00:00,www.aspleyss.eq.edu.au,(07) 3863 9111,N,(07) 3863 9100,,Maundrell Terrace,Aspley,4034,Maundrell Terrace,Aspley,,4034,Metropolitan,Lilley,Aspley,Brisbane (C),Aspley,302021027,Major Cities of Australia,2019 July,732,,16378092269,State,,153.014592,-27.369898
58,5313,Assisi Catholic College (Upper Coomera),Non-State School,Open,,,Prep Year,Year 12,Principal,,,www.assisi.qld.edu.au,(07) 5529 4700,N,(07) 5529 4711,,173 Billinghurst Crescent,Upper Coomera,4209,173 Billinghurst Crescent,Upper Coomera,,4209,South East,Forde,Coomera,Gold Coast (C),Upper Coomera - Willow Vale,309071258,Major Cities of Australia,,,,,Non-State,Catholic,153.302142,-27.858338
59,5393,Assumption College (Warwick),Non-State School,Open,,,Year 7,Year 12,Principal,,,www.acwarwick.catholic.edu.au,(07) 4660 4000,,(07) 4660 4099,,6 Locke Street,Warwick,4370,PO Box 347,Warwick,,4370,Darling Downs South West,Maranoa,Southern Downs,Southern Downs (R),Warwick,307031189,Inner Regional Australia,,,,,Non-State,Catholic,152.027987,-28.225162
60,2051,Atherton State High School,State High School,Open,,,Year 7,Year 12,Principal,10,2020-07-17T00:00:00,www.athertonshs.eq.edu.au,(07) 4030 5222,N,(07) 4091 3847,,Maunds Road,Atherton,4883,PO Box 574,Atherton,,4883,Far North Queensland,Kennedy,Hill,Tablelands (R),Atherton,306051166,Outer Regional Australia,2019 July,823,,76205043393,State,,145.486092,-17.260064
61,789,Atherton State School,State School,Open,,,Prep Year,Year 6,Principal,8,2020-07-17T00:00:00,www.athertonss.eq.edu.au,(07) 4095 7333,N,,,Armstrong Street,Atherton,4883,PO Box 209,Atherton,,4883,Far North Queensland,Kennedy,Hill,Tablelands (R),Atherton,306051166,Outer Regional Australia,2019 July,444,,17037789155,State,,145.481622,-17.261668
62,357,Augathella State School,State School,Open,,,Early Childhood,Year 6,Principal,5,2020-05-15T00:00:00,www.augathellass.eq.edu.au,(07) 4654 5120,N,(07) 4654 5266,,Cavanagh Street,Augathella,4477,PO Box 33,Augathella,,4477,Darling Downs South West,Maranoa,Warrego,Murweh (S),Charleville,315031409,Very Remote Australia,2019 July,52,,17989162841,State,,146.583358,-25.79714
63,7120,Augusta State School,State School,Open,,,Early Childhood,Year 6,Principal,10,2020-05-15T00:00:00,www.augustass.eq.edu.au,(07) 3814 9666,N,(07) 3814 0192,,60-100 Brittains Road,Augustine Heights,4300,60-100 Brittains Road,Augustine Heights,,4300,Metropolitan,Oxley,Jordan,Ipswich (C),Bellbird Park - Brookwater,310041296,Major Cities of Australia,2019 July,1111,,14994918612,State,,152.876523,-27.655808
64,274,Aurukun State School,State School,Open,,,Early Childhood,Year 12,Executive Principal,8,2020-07-17T00:00:00,www.aurukunss.eq.edu.au,(07) 4083 4333,N,(07) 4060 6143,,Wuungkam Street,Aurukun,4892,c/- Aurukun Post Office,Aurukun,,4892,Far North Queensland,Leichhardt,Cook,Aurukun (S),Aurukun,315011395,Very Remote Australia,2019 July,253,,98464849685,State,,141.729393,-13.353032
65,1677,Australian Christian College - Moreton (Caboolture),Non-State School,Open,,,Prep Year,Year 12,Principal,,,www.acc.edu.au,(07) 5490 6100,,(07) 5490 6191,,34 Cottrill Road,Caboolture,4510,Locked Bag 6000,Caboolture BC,,4510,North Coast,Longman,Pumicestone,Moreton Bay (R),Caboolture,313021365,Major Cities of Australia,,,,,Non-State,Independent,152.95259,-27.057676
66,A818,Australian Industry Trade College - Ipswich (North Ipswich),Non-State School,Open,,,Year 10,Year 12,Principal,,,www.aitc.qld.edu.au,(07) 3050 4800,,,,17 Lowry Street,North Ipswich,4305,17 Lowry Street,North Ipswich,,4305,Metropolitan,Blair,Ipswich West,Ipswich (C),North Ipswich - Tivoli,310031292,Major Cities of Australia,,,,,Non-State,Independent,152.76157,-27.6075
